,microbiome_shannon,microbiome_simpson,microbiome_richness,virome_shannon,virome_simpson,virome_richness,relative_age,era
S01_age0.00,3.2477704521761113,0.9469502080194403,40,2.9340356559933247,0.938320495708281,25,0.0,Holocene/thaw-front
S02_age0.04,3.2748150289292584,0.9497177266319229,40,2.93831540025731,0.9387039143222562,25,0.0434782608695652,Holocene/thaw-front
S03_age0.09,3.3904210762343445,0.9597153989252638,40,2.9066150305029463,0.9314074447407918,25,0.0869565217391304,Holocene/thaw-front
S04_age0.13,3.357904987770306,0.9566790890340068,40,2.9667319172472544,0.9393603796053758,25,0.1304347826086956,Holocene/thaw-front
S05_age0.17,3.358344885137739,0.9510682002490937,40,3.010844889965633,0.9425906798357233,25,0.1739130434782608,Holocene/thaw-front
S06_age0.22,3.4949630303252857,0.9650632134210289,40,3.017233476616025,0.9417264252499882,25,0.217391304347826,Holocene/thaw-front
S07_age0.26,3.5447638771757055,0.9673128675928464,40,3.067555903093175,0.9470683638061798,25,0.2608695652173913,Holocene/thaw-front
S08_age0.30,3.5790251982595986,0.9690310629670607,40,3.097446309230335,0.9500708455594924,25,0.3043478260869565,Holocene/thaw-front
S09_age0.35,3.532063583389059,0.9658658495500574,40,3.0619990045672463,0.9464172214053298,25,0.3478260869565217,Holocene/thaw-front
S10_age0.39,3.5892237439061114,0.9694686747440292,40,3.0210580826631164,0.9413975814918121,25,0.3913043478260869,Holocene/thaw-front
S11_age0.43,3.598608898787724,0.9702778430256335,40,3.0056082448653934,0.9384558700467186,25,0.4347826086956521,Late Pleistocene
S12_age0.48,3.5952870676185773,0.9701011168808852,40,3.0751832588027193,0.947265897346091,25,0.4782608695652174,Late Pleistocene
S13_age0.52,3.619925051586206,0.9714351221032896,40,3.106556696094215,0.950670540527979,25,0.5217391304347826,Late Pleistocene
S14_age0.57,3.6125872944295323,0.9708220104842731,40,3.1509409981369525,0.9543660308383951,25,0.5652173913043478,Late Pleistocene
S15_age0.61,3.633860987298157,0.972128038429263,40,3.09511728546568,0.9496017676861186,25,0.6086956521739131,Late Pleistocene
S16_age0.65,3.606254316040462,0.9707428165630962,40,3.134197535985408,0.9530967450519721,25,0.6521739130434783,Late Pleistocene
S17_age0.70,3.578122220942067,0.9685806852770782,40,3.04959901190258,0.9439284467584368,25,0.6956521739130435,Late Pleistocene
S18_age0.74,3.595548827629709,0.9700752690356101,40,3.009393715004211,0.9390179122148814,25,0.7391304347826086,Late Pleistocene
S19_age0.78,3.554873426146243,0.9681230651349327,40,3.1223092084790203,0.9522673737560784,25,0.7826086956521738,Deep Pleistocene
S20_age0.83,3.545092475254327,0.9672530198209374,40,3.03341952636376,0.9432522178187871,25,0.8260869565217391,Deep Pleistocene
S21_age0.87,3.5714607754926497,0.9687798124396492,40,3.059030212189863,0.9456994785353399,25,0.8695652173913043,Deep Pleistocene
S22_age0.91,3.57078794007343,0.968860005317503,40,3.0566078939774615,0.9450648173816579,25,0.9130434782608696,Deep Pleistocene
S23_age0.96,3.5555649880216933,0.9682910572136193,40,3.039673228585676,0.9442089229963417,25,0.9565217391304348,Deep Pleistocene
S24_age1.00,3.5220815775192875,0.9662230968401451,40,3.039631224019935,0.942330144364976,25,1.0,Deep Pleistocene
