,Bacterium_dormant_01,Bacterium_dormant_02,Bacterium_dormant_03,Bacterium_dormant_04,Bacterium_dormant_05,Bacterium_dormant_06,Bacterium_dormant_07,Bacterium_dormant_08,Bacterium_dormant_09,Bacterium_dormant_10,Bacterium_dormant_11,Bacterium_dormant_12,Bacterium_dormant_13,Bacterium_dormant_14,Bacterium_dormant_15,Bacterium_dormant_16,Bacterium_dormant_17,Bacterium_dormant_18,Bacterium_dormant_19,Bacterium_dormant_20,Bacterium_fastresp_01,Bacterium_fastresp_02,Bacterium_fastresp_03,Bacterium_fastresp_04,Bacterium_fastresp_05,Bacterium_fastresp_06,Bacterium_fastresp_07,Bacterium_fastresp_08,Bacterium_fastresp_09,Bacterium_fastresp_10,Bacterium_fastresp_11,Bacterium_fastresp_12,Bacterium_fastresp_13,Bacterium_fastresp_14,Bacterium_fastresp_15,Bacterium_fastresp_16,Bacterium_fastresp_17,Bacterium_fastresp_18,Bacterium_fastresp_19,Bacterium_fastresp_20
S01_age0.00,0.006968274471522804,0.007936341283566567,0.0035589858718909338,0.004400539151527208,0.009140918485700639,0.0021855898499646385,0.009683193671244917,0.01365923880400262,0.00403043970587689,0.010875320672977114,0.011546609048755306,0.004929782346619351,0.0072360864241003894,0.00526988587223979,0.0060886606639140835,0.012396108580325034,0.0033129952626229477,0.006921676706429176,0.004578468537936748,0.002668544318807239,0.02126270970501988,0.03636832847072859,0.027488040491227016,0.03506913024680046,0.042233840184325584,0.041455602431685785,0.020039244752654974,0.05946032302159087,0.02830123109771553,0.037915668429797066,0.029673677737106583,0.017474144711891123,0.025079214865567735,0.03160241384269286,0.13835491033037228,0.04331769091116109,0.04249645558793719,0.06611075694991309,0.03327107891282741,0.08563787758896055
S02_age0.04,0.006697725799991185,0.008133151036492437,0.007944936584469892,0.004883102509229255,0.005865354106543412,0.003150844537412424,0.008113781352281147,0.012815035834378694,0.009817946947460026,0.007543736109988543,0.009962255539409902,0.012240609228039457,0.007295248425901467,0.007577897077505067,0.007785270284375044,0.01397162318026863,0.0024744693427698815,0.0072462055958226095,0.0016130178009657735,0.0018992691053308609,0.017031285557443293,0.029603954570177064,0.027093441545112965,0.1298150112962791,0.036828006265972345,0.033766132837001195,0.014945278806225244,0.04401237831058012,0.04304697737323996,0.04605725081163475,0.0294144073948834,0.045823736300324894,0.01952974047094414,0.03082829264366772,0.08046074837690868,0.021061138420891388,0.05146039998901314,0.05203432859590259,0.05193333938344229,0.04822267065171994
S03_age0.09,0.010734130258235663,0.00953926415520901,0.008690062030927021,0.003153081743757902,0.005410454253768086,0.007412965451569236,0.004725752033155307,0.027209411579776896,0.004200467480793497,0.01029292229142034,0.009482503886900674,0.01656686291108776,0.011463742373941118,0.003690115537129666,0.0164877191235121,0.025098714789467645,0.0053153979873612695,0.007500788715833979,0.0039283665542799075,0.0038529282264011767,0.03176960285959937,0.036556566882894166,0.026930378126628227,0.042318482418349575,0.04271020138940711,0.028240027640268162,0.024442144204688737,0.03668690659934881,0.07119231003880606,0.0534261465558398,0.018569528997820328,0.035358102808997136,0.025448943886090994,0.03430259201556071,0.07244421687438907,0.03050974096812021,0.029253592321494503,0.056445394412319626,0.07171891010031076,0.036920559514538404
S04_age0.13,0.006961551252483189,0.013460084014372552,0.015364114535074799,0.003951255002038208,0.00771748530774367,0.005125085014098258,0.00549373982020086,0.02541070185580211,0.00812664159462488,0.007930176150395509,0.009792488638477224,0.014451849488271768,0.008860349173348102,0.00633215573856153,0.006725468380008835,0.009063258983693527,0.009070844545628667,0.0068927359279772355,0.0047323168242325,0.005576790174675467,0.014732536995905474,0.030447581115312438,0.028761047983581468,0.04166801064584694,0.041781626074313266,0.03796855692686314,0.019676391943128056,0.041202168574475784,0.04634946022296114,0.03509477558694624,0.011988058801856265,0.04687869161613924,0.03733141573085082,0.02671334191421991,0.0826232868279947,0.03773456059724773,0.055224664942537714,0.08767990749949105,0.026382164268948283,0.06872265930967145
S05_age0.17,0.008293170071388078,0.020516885963987565,0.013809970910243148,0.01197276545019501,0.02109060289128568,0.014290361078390242,0.008840703947312109,0.013003952263067943,0.014066376178886763,0.006795004426773163,0.016268667961900775,0.020900183154278842,0.0075227268250357545,0.003954158140024708,0.014175208875779145,0.018242967959200287,0.006467007270451948,0.010754348548443907,0.004006521422471138,0.004173235671280552,0.017451351748293875,0.027081892112701313,0.013226595443246746,0.05853331273764856,0.04515996091780895,0.04579650113596858,0.009495435450030709,0.026438331534200114,0.02919696653075315,0.03275270086142111,0.02296337536408341,0.025971862456777548,0.031324508550823894,0.033646445924804196,0.14620675342111705,0.01788113999336925,0.058586539390031264,0.062310819747506276,0.03277035370253148,0.02406033396648579
S06_age0.22,0.01314045945110193,0.023042018380973344,0.013298368950249844,0.010710454411872653,0.011392383474343546,0.01501300202584423,0.015774024158481247,0.012832623912391148,0.009709696660499931,0.00581698495127703,0.006039417411136834,0.015018258298661092,0.026092241834841767,0.010395271301654112,0.010055730621876542,0.015084991110876841,0.012720984034767202,0.013349470423355726,0.006746646605189294,0.008546067786975234,0.0189100891587003,0.050863930674520975,0.029339662422896998,0.05165418709053622,0.03133794033846178,0.04679112259509544,0.010818199970989224,0.049239118325198776,0.02636418582618908,0.042445029661883765,0.021375524949921645,0.021361742134743462,0.05063380639280872,0.049748732171825204,0.05764435836249595,0.03894047045419457,0.047812694296906655,0.02475723562268134,0.035729183776810614,0.039453689966769734
S07_age0.26,0.01696979510327523,0.012900668916748901,0.013317496385364776,0.010514319587745092,0.020440581250411226,0.012026671027323098,0.016880720930710854,0.05022299158399171,0.010966250724783359,0.01098718149603842,0.010837528883869898,0.033211599597108496,0.024124000727209004,0.015124369744685777,0.02053020332795465,0.023163396099090856,0.009899324835580689,0.012370778870102015,0.006716175479864549,0.009584762708654182,0.028755021197097535,0.04146220281296575,0.021376995753784222,0.034817717447886296,0.032492088557137935,0.06094070317269494,0.015115319005592938,0.030661094391914282,0.032858635277818606,0.027037372931042507,0.019014092404611653,0.04167390957106918,0.02157931574431355,0.024606330814924565,0.05559491726194084,0.027680571323948723,0.021444804708023117,0.051231402260416885,0.021819251033729555,0.04904943704857398
S08_age0.30,0.01432191332684226,0.025660144623624363,0.027753869572702747,0.011458355681364258,0.0125015052708875,0.01302865740505018,0.019056539120619363,0.023424252816341678,0.01764163599115761,0.028306690307397492,0.020962173511200593,0.02018803932101305,0.013638831405164234,0.013962537018227647,0.012028934221291428,0.017149291224317006,0.016228140276985676,0.011263267546844662,0.011981585094625284,0.01804569361855205,0.018053305679806706,0.03941444956216156,0.04089056839983161,0.037878919001029306,0.03154645860113481,0.02107219742495536,0.012595954495490405,0.047436059736964985,0.04895916750943336,0.027513042469116584,0.014117151603679583,0.024843922756616198,0.026322624603187187,0.023893699612837625,0.060859957312447005,0.028344349309037255,0.032169192109399065,0.051800459146769146,0.03022848664365875,0.03345797666823439
S09_age0.35,0.02428047213385294,0.04313698813127553,0.02231280830254371,0.014488744287904568,0.009755511951828383,0.015508447416714389,0.01107151022025117,0.022438018883168796,0.022239796966837998,0.020082825855351934,0.023940330392273956,0.013533203713522774,0.018984402075477864,0.011180609584281128,0.025056557156379458,0.05774326068836354,0.012670111865880952,0.013147830817537395,0.006364304159877083,0.011841529976998371,0.014976521915294062,0.021073455053172548,0.020916877093855694,0.025980886961651423,0.05234429610013059,0.04468085678733457,0.017193431122317648,0.02325389591273529,0.039472393429812826,0.03408236909357293,0.015881094997908844,0.024933708409897264,0.014760828935063154,0.015096022560923395,0.06846245744184642,0.0228484041700062,0.036006535233861145,0.06816358358153744,0.015057548454173224,0.0250375681645834
S10_age0.39,0.024418545439774925,0.029510200536652594,0.018299347201489687,0.02245224285425045,0.02055844165645387,0.010477490533785109,0.0175168127276504,0.051243421826018,0.021970841652275856,0.009756121721562176,0.043338854524025215,0.03227766253140349,0.0370784876116728,0.014024061383205583,0.02072895477994853,0.021234847251432418,0.03038829727883751,0.018136826341054298,0.01789614715373969,0.011151325142150595,0.01644742399473829,0.017389481593051922,0.017378525520804117,0.05008694676435848,0.023300125904954037,0.04286052938817513,0.013256394417964229,0.018833259712377398,0.027310281639948263,0.02954820683830528,0.017406427525747895,0.02272610207845834,0.016919161507197553,0.02143149379684247,0.0360327292846701,0.015619060488519517,0.031803390135726625,0.06204663329903143,0.01582173995595774,0.03132315600578789
