phage,predicted_host,spearman_rho
Phage_01,Bacterium_fastresp_11,0.806086956521739
Phage_02,Bacterium_dormant_20,0.9443478260869566
Phage_04,Bacterium_fastresp_05,0.906086956521739
Phage_05,Bacterium_fastresp_18,0.7573913043478261
Phage_06,Bacterium_dormant_17,0.9130434782608695
Phage_07,Bacterium_fastresp_12,0.8017391304347825
Phage_08,Bacterium_fastresp_02,0.7191304347826086
Phage_09,Bacterium_fastresp_17,0.8843478260869565
Phage_10,Bacterium_fastresp_03,0.7747826086956522
Phage_11,Bacterium_fastresp_06,0.9078260869565216
Phage_12,Bacterium_fastresp_17,0.7652173913043477
Phage_13,Bacterium_fastresp_11,0.6721739130434782
Phage_14,Bacterium_dormant_07,0.9321739130434782
Phage_15,Bacterium_dormant_10,0.826086956521739
Phage_16,Bacterium_fastresp_20,0.9113043478260868
Phage_17,Bacterium_dormant_02,0.8426086956521738
Phage_19,Bacterium_fastresp_19,0.7799999999999999
Phage_20,Bacterium_dormant_02,0.8765217391304346
Phage_21,Bacterium_dormant_11,0.9069565217391303
Phage_22,Bacterium_dormant_15,0.9539130434782607
Phage_23,Bacterium_dormant_06,0.9426086956521739
Phage_24,Bacterium_fastresp_05,0.8252173913043478
Phage_25,Bacterium_fastresp_09,0.8913043478260868
