phage,predicted_host,spearman_rho,true_host,correct
Phage_01,Bacterium_fastresp_11,0.806086956521739,Bacterium_fastresp_11,True
Phage_02,Bacterium_dormant_20,0.9443478260869566,Bacterium_dormant_20,True
Phage_04,Bacterium_fastresp_05,0.906086956521739,Bacterium_fastresp_05,True
Phage_05,Bacterium_fastresp_18,0.7573913043478261,Bacterium_fastresp_18,True
Phage_06,Bacterium_dormant_17,0.9130434782608695,Bacterium_dormant_17,True
Phage_07,Bacterium_fastresp_12,0.8017391304347825,Bacterium_fastresp_12,True
Phage_08,Bacterium_fastresp_02,0.7191304347826086,Bacterium_fastresp_01,False
Phage_09,Bacterium_fastresp_17,0.8843478260869565,Bacterium_fastresp_17,True
Phage_10,Bacterium_fastresp_03,0.7747826086956522,Bacterium_fastresp_03,True
Phage_11,Bacterium_fastresp_06,0.9078260869565216,Bacterium_fastresp_06,True
Phage_12,Bacterium_fastresp_17,0.7652173913043477,Bacterium_fastresp_17,True
Phage_13,Bacterium_fastresp_11,0.6721739130434782,Bacterium_fastresp_11,True
Phage_14,Bacterium_dormant_07,0.9321739130434782,Bacterium_dormant_07,True
Phage_15,Bacterium_dormant_10,0.826086956521739,Bacterium_dormant_10,True
Phage_16,Bacterium_fastresp_20,0.9113043478260868,Bacterium_fastresp_20,True
Phage_17,Bacterium_dormant_02,0.8426086956521738,Bacterium_dormant_02,True
Phage_19,Bacterium_fastresp_19,0.7799999999999999,Bacterium_fastresp_19,True
Phage_20,Bacterium_dormant_02,0.8765217391304346,Bacterium_dormant_02,True
Phage_21,Bacterium_dormant_11,0.9069565217391303,Bacterium_dormant_11,True
Phage_22,Bacterium_dormant_15,0.9539130434782607,Bacterium_dormant_15,True
Phage_23,Bacterium_dormant_06,0.9426086956521739,Bacterium_dormant_06,True
Phage_24,Bacterium_fastresp_05,0.8252173913043478,Bacterium_fastresp_05,True
Phage_25,Bacterium_fastresp_09,0.8913043478260868,Bacterium_fastresp_09,True
