,Phage_01,Phage_02,Phage_03,Phage_04,Phage_05,Phage_06,Phage_07,Phage_08,Phage_09,Phage_10,Phage_11,Phage_12,Phage_13,Phage_14,Phage_15,Phage_16,Phage_17,Phage_18,Phage_19,Phage_20,Phage_21,Phage_22,Phage_23,Phage_24,Phage_25
S01_age0.00,0.046420940527914484,0.004009133229667925,0.030261270546479355,0.05245218356334413,0.08624106160584419,0.007627596331526034,0.0255446904225337,0.04191540603263582,0.09345419780470136,0.04550015788731755,0.11595587359253427,0.048697198848444125,0.05856508578436073,0.015992771763839557,0.006443807164121104,0.06587049748537879,0.0131608377048751,0.04635123669675785,0.05761786739390558,0.00774387443012969,0.014390014050484958,0.01208666307902856,0.0018297133762964913,0.04976644970237951,0.05210147097549894
S02_age0.04,0.06944581636576216,0.002924747928054655,0.04061025180077022,0.048193220665765465,0.04196918428661263,0.0066080246875099185,0.06630194448621204,0.03158175417329697,0.06335087027272665,0.033099979840636375,0.06611981892627027,0.03749736210438114,0.050408269535304494,0.008842980694174813,0.017285436174779147,0.0548248319402712,0.0082493964616537,0.047639634814534454,0.08496478764907964,0.008820787008151294,0.020784487222463705,0.009134526237654957,0.0024359994333628546,0.0553604408341228,0.12354544645644844
S03_age0.09,0.02838804908579466,0.006859561372525275,0.05127232001028008,0.052084174034914416,0.03209079478930488,0.014483389982889795,0.03260560078452174,0.05168822906531492,0.05512936657669384,0.04879402353317185,0.03740218301803588,0.029723373710627825,0.03190493114493937,0.006209700275095425,0.013946337118707042,0.06463769902032608,0.011434798691799624,0.050258864241998706,0.13821720454092298,0.011353350676246701,0.010996968421071219,0.014273102309576575,0.00523581160426674,0.07010866227933998,0.13090150371163453
S04_age0.13,0.02788813824270133,0.013878179354580968,0.05318768924446955,0.06857488845667868,0.0685558188716633,0.028390880489219773,0.06563744945401644,0.03099342645001265,0.10669726901272221,0.03665428558380379,0.05241384147456517,0.04834651793396662,0.01497895360784494,0.010015699107426003,0.013992394206363305,0.06076764185914397,0.015134343465696075,0.02853068189129577,0.05016423121238594,0.015933964436439785,0.017202557111004532,0.006957884695104806,0.0026539085344069314,0.04977848119984706,0.11267087410464036
S05_age0.17,0.04919979796693585,0.007295642756107591,0.03248626708847976,0.06230715767053636,0.04118382589250877,0.026075171309593338,0.03321836979286841,0.03500119711548354,0.10751775454285878,0.017372964699101167,0.06642375482832803,0.028832189019055977,0.02830783677797592,0.017684682749483212,0.006979160014876658,0.033686418560886784,0.039394925371156575,0.07221180381622459,0.09350326361996017,0.016321585211382893,0.017829581032086303,0.021793959806508195,0.010618960469358478,0.0754338286285927,0.05931990125964987
S06_age0.22,0.04195582438673231,0.013259930088608188,0.059370751541612705,0.03572167973261658,0.024399051174933187,0.03001046878373038,0.02468541597846826,0.03968840807540766,0.10511367422044438,0.04215745636776329,0.12259724303316882,0.031585680255560585,0.031201433164645496,0.018721561332418913,0.009360540037719679,0.03414807085292986,0.047570578373704646,0.03758073220568171,0.06482768255022246,0.03690866604504254,0.010420848629020903,0.013067161977711898,0.010283009561984635,0.06618983619637553,0.04917429543349532
S07_age0.26,0.04708941859730284,0.023609382395195187,0.04189295476001919,0.03273044544048653,0.067267640451283,0.022802471629633208,0.06399093117596545,0.08702215741214613,0.03906371952567187,0.03834278772248017,0.09222376417793002,0.019534430310466082,0.024412414698132868,0.029137479844502965,0.018439012683334453,0.04178521379923535,0.02305820170260714,0.08473321895806274,0.04500473017146829,0.0192536616125869,0.015276755009399644,0.022539099249981015,0.009319743822121451,0.0522476590337841,0.039222705816203456
S08_age0.30,0.04647700625421166,0.04297422234067288,0.10290548168713358,0.04051120171360604,0.05899307928684454,0.029524902878603397,0.03966848225269062,0.03293073115337197,0.04739266189073736,0.04869805906281402,0.05239328847807008,0.0389827519862352,0.01491097966954404,0.030915673535125823,0.04184360536894656,0.027718349952306237,0.032399820831087375,0.046182327769624276,0.04596735956015503,0.03029761806252073,0.01395520271585256,0.011351015352458674,0.007022171612180606,0.0381236607820749,0.07786034580313186
S09_age0.35,0.03447381233840103,0.020060373645880317,0.02401460858379496,0.05406258035194744,0.045560185852996475,0.026815431535657984,0.041563532197125864,0.018434265400751267,0.09354156112573532,0.031674424379166496,0.0915495134261822,0.031142151060655862,0.01663283639343315,0.010384649494842116,0.020283270501924914,0.040968249459257235,0.0837918211352502,0.030028535111741025,0.04679255860908593,0.035575319235943495,0.02998584983142917,0.026808743984229333,0.012744593732774971,0.07068254833543065,0.06242858427636245
S10_age0.39,0.04026952589479008,0.01700765821832276,0.03773858074721651,0.030538090659767123,0.05267272230820198,0.10307691705139116,0.028917101234260396,0.02584321943311336,0.07507865915461319,0.02590766894251299,0.12690012103087717,0.02977493749261459,0.024076410681283987,0.024771914117325575,0.008522419493352475,0.0689995562842546,0.029693168942236208,0.04255234901796458,0.04024775094157501,0.030015494073749763,0.04222897868525385,0.01577802742266046,0.006089119485888836,0.028361424739377285,0.04493818394739618
S11_age0.43,0.024021072873358317,0.012166762532519594,0.020366027876153447,0.0848256271302913,0.04261508514072997,0.06005778093204586,0.03721900677110236,0.025211293280297965,0.046104773158715105,0.03378359414176473,0.04523962857447166,0.01306460516820771,0.013048273971953841,0.0474188196925916,0.025150177172449766,0.03775096092959276,0.04506041270764269,0.0457869717103182,0.15180488895728675,0.02645825515338302,0.03527231657718564,0.020258769843859523,0.009917584030510324,0.07550014842608534,0.02189716324748254
S12_age0.48,0.038507282360147374,0.01878837165627601,0.028365802606357793,0.055727588993865436,0.04172086255303876,0.0401623277830876,0.04201775874978207,0.01749550595045025,0.11430341071066427,0.015890273942386363,0.04210275999262441,0.05846984652571425,0.016315783192481646,0.02139384855124796,0.01565093801805574,0.0262005661464235,0.034816456891144335,0.03138459973207203,0.046517320456280556,0.03245839578395975,0.07487931443908072,0.05301194059527026,0.013701167959755135,0.06913584143188081,0.05098203497795285
S13_age0.52,0.040134606640461666,0.012714215628753687,0.042834432196541844,0.045599205338600415,0.04911307287537332,0.03540409406663021,0.05160015777716386,0.043037135593251834,0.09201523762828717,0.039955065310007,0.04023304549914119,0.048298968317832924,0.01951754759542675,0.03079550726118478,0.014629417891399701,0.04893510581274596,0.02168058364575073,0.05598479225172229,0.08730952423336655,0.020541743054688446,0.03698974843164314,0.022707528446605903,0.013962862960426033,0.0365486634700762,0.04945773807291838
S14_age0.57,0.053963316755328096,0.04263385504645291,0.04321751792428495,0.037635891348947986,0.045257453527149244,0.038073184845102026,0.03454499091791405,0.029070219388299182,0.06250040384933417,0.03817386106416799,0.03326842676357767,0.025014279436147542,0.03201842511186146,0.0488450377923754,0.0294348069774702,0.021713587073058378,0.09043135007853138,0.0483593189779154,0.04793448961143089,0.04007434008465628,0.02485623563563049,0.04283368357032431,0.009532342662592817,0.03669331646600349,0.04391966509144351
S15_age0.61,0.02944895256927965,0.05109979427043157,0.02736097108345977,0.02626852770044779,0.06976800563648154,0.05665431910638481,0.03587384059600555,0.02005764139061555,0.021940891085195653,0.02169352194413052,0.039511990724091985,0.016343712242444464,0.022383913080425137,0.04346456076217342,0.01789730204480631,0.02111152105514844,0.080174916003274,0.03711349515410502,0.06053646316394799,0.07848565428071454,0.0797495954425702,0.05389817196987222,0.017904235350235095,0.03906112939366461,0.03219687395009423
S16_age0.65,0.03511028973468892,0.04258416471393442,0.03304043994559758,0.05411764624967289,0.03513841974326385,0.05420841626539295,0.02501184021529477,0.03271689158408788,0.042726383875547315,0.022338202222775758,0.056982427816878095,0.014519270023416863,0.02458583199352169,0.07752983757260065,0.02521847635299727,0.02896881407059725,0.043148759296643954,0.03289468611746498,0.07271927552594644,0.02406061212146682,0.06518040489801688,0.035353752758533294,0.017036728514177327,0.053569684994961085,0.05123874339252117
S17_age0.70,0.011321850745445478,0.13175881446855248,0.04593519024144648,0.03387418895761673,0.03535012051938708,0.08137845610543654,0.03779756516972223,0.028798924592017026,0.02620037183235873,0.0369054196368934,0.03416977501580301,0.015053574533516257,0.008124393218192506,0.039275086271480776,0.028246764680312786,0.02603510219861252,0.054884184539563036,0.03507197261834964,0.024081314060520526,0.04784155866478157,0.07703084088526786,0.03695753689718154,0.013795991450171012,0.043120490615184304,0.04699051208218655
S18_age0.74,0.023939015095887303,0.05925082560317949,0.015473042706737926,0.05039577365701392,0.026436629446227752,0.043476831560353056,0.015371088184992516,0.01536261586903344,0.02286341451482514,0.016971743811627492,0.08160005705149508,0.023774423407833183,0.014444591804664304,0.145465078830653,0.03891197498472347,0.025709480216406715,0.04632425086733144,0.02589937581887937,0.07938961637969492,0.037756518310699934,0.04186499533316008,0.0704797765583616,0.024214093749156167,0.03556030267543286,0.019064483561629892
S19_age0.78,0.04350179490033536,0.030770738130696643,0.04836988887560129,0.019043669782082856,0.04132311423325581,0.07581043481477244,0.04243403828385142,0.024546138032599085,0.036939940028715784,0.021480885756387322,0.016268818010666035,0.017298468666559062,0.029228899490395328,0.05131853526039322,0.04687462666875877,0.015346585565403236,0.08230949376047857,0.0573311365161965,0.05451307667999941,0.05325135006554824,0.05398165720115506,0.05072047670931962,0.0381307095868176,0.023530074543229595,0.025675448436781795
S20_age0.83,0.022911761856607416,0.06435957810933852,0.05187511698383016,0.04161266552318271,0.018511939020034486,0.12008982663453611,0.01605949390889792,0.01833623219191255,0.0420877333376617,0.01718965289580914,0.030805266654296223,0.0176331897677404,0.015457255538409043,0.09473790005594801,0.038426785976442696,0.013271253511017085,0.04248265980603368,0.06097636516216807,0.034700465119883464,0.060809375991971545,0.043162600180256104,0.03019478085454809,0.012339481399241818,0.029781681301978138,0.062186938218255085
S21_age0.87,0.02296632858801447,0.06936835338748311,0.023409208822636512,0.02541786361787168,0.031174892060108973,0.06381259138888533,0.020906677213019143,0.02128483210965723,0.04072739609353994,0.020339681967669023,0.02904213110152965,0.02220227262078612,0.016947447952952478,0.09750034362393344,0.042747108460967354,0.015749941220372175,0.05138026333623506,0.038766697228501554,0.049871301916982906,0.03147848011049176,0.09746703928490229,0.07843046449818458,0.016975649892626715,0.05017148766662347,0.021861545836025145
S22_age0.91,0.02487443296568617,0.039842493907670216,0.04462844948354863,0.023641192675827243,0.027461601266453986,0.09154179624755372,0.018795354420733556,0.029926490076675357,0.027580617671420914,0.032779074180816783,0.03446433994261682,0.011884163753935832,0.026645848933085664,0.07167418537574846,0.032294557165646234,0.012750801990804953,0.11056711750032228,0.038790967078468526,0.04069140886382789,0.06761026357141468,0.07763062368960147,0.04339348953301494,0.02087903733738916,0.02950394659830174,0.020147745769434844
S23_age0.96,0.01768456686420624,0.04637441512819276,0.04584525506775789,0.020946781064322392,0.01626437631496124,0.08913092375816067,0.021385491971871784,0.029240391830625927,0.0927715619913486,0.019155586913099973,0.03515086132208512,0.033297485199989325,0.014844633392435675,0.05796703079088699,0.028405253611680087,0.014290546948583926,0.08514618750950442,0.03277006894843113,0.03279938073019024,0.07959289821790168,0.08097467574031673,0.039280884994188976,0.017123310573452937,0.024095033967015074,0.025462397148790106
S24_age1.00,0.03409452637921484,0.054700811782422115,0.033702700359454725,0.02446167991831318,0.02171992231732434,0.08325817986916842,0.01929928067093224,0.022512647469337715,0.038687795478119805,0.026716551422636754,0.030208439010811737,0.0132930797593908,0.01645448299447834,0.056311906681820234,0.059391567060650075,0.017838656481266087,0.13609323763409356,0.021905218299592612,0.039778927615327406,0.06357076660232593,0.06691483748810427,0.04325907383273434,0.023874435108249045,0.028949574263025635,0.02300170150120576
